id;title;path
CAF4BD7F;"2.6-1 数学中的一元二次方程";"/北师大版/九年级上/第2章 一元二次方程/2.6 应用一元二次方程/2.6-1 数学中的一元二次方程"
CB4DBB32;"9.7 同底数幂的乘法";"/沪教版/七年级上/第九章 整式/第3节 整式的乘法/9.7 同底数幂的乘法"
CB65441C;"16.3-1 二次根式的加减";"/人教新版/八年级下/第16章 二次根式/16.3 二次根式的加减/16.3-1 二次根式的加减"
CBADDF36;"1.4 从三个方向看物体的形状";"/北师大版/七年级上/第1章 丰富的图形世界/1.4 从三个方向看物体的形状"
CBE59062;"4.8-2 图形的位似(2)";"/北师大版/九年级上/第4章 图形的相似/4.8 图形的位似/4.8-2 图形的位似(2)"
CBF25455;"11.2 旋转";"/沪教版/七年级上/第十一章 图形的运动/第2节 图形的旋转/11.2 旋转"
CC1E49B6;KD：全等三角形的判定与性质;"/浙教新版/八年级上/第1章 三角形的初步知识/1.5 三角形全等的判定/KD：全等三角形的判定与性质"
CC2ED8FB;"1.3 有理数的加减法";"/人教新版/七年级上/第1章 有理数/1.3 有理数的加减法"
CC31F13D;"12.3-1 二次根式的加减";"/苏科新版/八年级下/第12章 二次根式/12.3 二次根式的加减/12.3-1 二次根式的加减"
CC3FF2DC;E4：函数自变量的取值范围;"/浙教新版/八年级上/第5章 一次函数/5.2 函数/E4：函数自变量的取值范围"
CCA42B28;35：合并同类项;"/浙教新版/七年级上/第4章 代数式/4.5 合并同类项/35：合并同类项"
CCC05A42;9B：同解方程组;"/浙教新版/七年级下/第2章 二元一次方程组/2.3 解二元一次方程组/9B：同解方程组"
CCDB6FF2;"3.3-2 去分母";"/人教新版/七年级上/第3章 一元一次方程/3.3 解一元一次方程（二）——去括号与去分母/3.3-2 去分母"
CCDF5C1E;"第1章 特殊的平行四边形";"/北师大版/九年级上/第1章 特殊的平行四边形"
CD017D00;"23.4 概率计算举例";"/沪教版/八年级下/第二十三章 概率初步/第2节 事件的概率/23.4 概率计算举例"
CD2150F3;A8：解一元二次方程-因式分解法;"/浙教新版/八年级下/第2章 一元二次方程/2.2 一元二次方程的解法/A8：解一元二次方程-因式分解法"
CD2B042C;"8.2-1 幂的乘方与积的乘方";"/苏科新版/七年级下/第8章 幂的运算/8.2 幂的乘方与积的乘方/8.2-1 幂的乘方与积的乘方"
CD2C6FAB;"4.5 利用三角形全等测距离";"/北师大版/七年级下/第4章 三角形/4.5 利用三角形全等测距离"
CD350FD2;C7：一元一次不等式的整数解;"/浙教新版/八年级上/第3章 一元一次不等式/3.3 一元一次不等式/C7：一元一次不等式的整数解"
CD37D7AB;"23.2-1 旋转变换(1)";"/北京课改新版/九年级下/第23章 图形的变换/23.2 旋转变换/23.2-1 旋转变换(1)"
CD70F34A;"18.1.1 平行四边形的性质";"/人教新版/八年级下/第18章 平行四边形/18.1 平行四边形/18.1.1 平行四边形的性质"
CDA87656;"4.3 角";"/人教新版/七年级上/第4章 几何图形初步/4.3 角"
CDBC591C;K1：三角形;"/浙教新版/八年级上/第1章 三角形的初步知识/1.1 认识三角形/K1：三角形"
CE48B360;"9.1.1-2 不等式的解集";"/人教新版/七年级下/第9章 不等式与不等式组/9.1 不等式/9.1.1 不等式及其解集/9.1.1-2 不等式的解集"
CE931428;"第十七章 一元二次方程";"/沪教版/八年级上/第十七章 一元二次方程"
CEA4B30E;"5.6 应用一元一次方程——追赶小明";"/北师大版/七年级上/第5章 一元一次方程/5.6 应用一元一次方程——追赶小明"
CEB68860;MG：切线长定理;"/浙教新版/九年级下/第2章 直线与圆的位置关系/2.2 切线长定理/MG：切线长定理"
CEBD2D9C;"5.3 分式的乘除";"/浙教新版/七年级下/第5章 分式/5.3 分式的乘除"
CF48E639;"第5章 一元一次方程";"/北师大版/七年级上/第5章 一元一次方程"
CF91770A;AE：配方法的应用;"/浙教新版/八年级下/第2章 一元二次方程/2.2 一元二次方程的解法/AE：配方法的应用"
CF96A144;"7.5 三角形内角和定理";"/北师大版/八年级上/第7章 平行线的证明/7.5 三角形内角和定理"
CFA20308;"2.6 有理数的乘法与除法";"/苏科新版/七年级上/第2章 有理数/2.6 有理数的乘法与除法"
CFB897CD;"4.1 因式分解";"/浙教新版/七年级下/第4章 因式分解/4.1 因式分解"
CFC5880B;"19.2 一次函数";"/人教新版/八年级下/第19章 一次函数/19.2 一次函数"
CFC6C822;"4.4 用尺规作三角形";"/北师大版/七年级下/第4章 三角形/4.4 用尺规作三角形"
D008C47F;"2.4 概率的简单应用";"/浙教新版/九年级上/第2章 简单事件的概率/2.4 概率的简单应用"
D013E1AC;"第3节 相似三角形";"/沪教版/九年级上/第二十四章 相似三角形/第3节 相似三角形"
D02A0AA2;"18.3 反比例函数";"/沪教版/八年级上/第十八章 正比例和反比例函数/第2节 反比例函数/18.3 反比例函数"
D04E1D1D;"5.2-2 加减消元法";"/北师大版/八年级上/第5章 二元一次方程组/5.2 求解二元一次方程组/5.2-2 加减消元法"
D04F501B;"5.4-1 分式方程(1)";"/北师大版/八年级下/第5章 分式和分式方程/5.4 分式方程/5.4-1 分式方程(1)"
